geoid,aspect,rank,value,performance
0107000,aae,321,47.08718211,2
0107000,aae_associates,245,8,2
0107000,aae_bachelors,331,16.2,2
0107000,aae_graduate,290,9.8,2
0107000,abk,305,55.345513074,2
0107000,abk_g3reading,450,1.574,1
0107000,abk_g8math,462,5.865,1
0107000,abk_hsincomplete,200,11.200000000000001,2
0107000,abk_lessthan9th,169,3.5999999999999996,2
0107000,abk_preschoolenroll,155,54.7,2
0107000,aic,475,23.373266231,1
0107000,aic_broadband,448,71.89999999999999,1
0107000,aic_broadbandspeed,243,136.438,2
0107000,aic_celldata,447,49,1
0107000,aic_nointernet,447,23,1
0107000,bhn,468,40.823013092,1
0107000,eq,330,41.521174468,2
0107000,eq_affectedglobalwa,1,39.519999999999996,3
0107000,eq_egridrenewables,308,12.428500000000001,2
0107000,eq_no2,318,11.139,2
0107000,eq_ozone,328,0.043,2
0107000,eq_pm25,411,9.403,1
0107000,eq_waterstress,1,0.658676,3
0107000,fow,451,37.129623354,1
0107000,hw,461,28.278539643,1
0107000,hw_cancer,250,5.800000000000001,2
0107000,hw_chd,443,7.000000000000001,1
0107000,hw_diabetes,454,13.350000000000001,1
0107000,hw_drugod,251,751.027,2
0107000,hw_mentalhealth,450,16.5,1
0107000,hw_obesity,447,36.7,1
0107000,i,412,45.185705846,1
0107000,i_commutetime,158,21.9299,2
0107000,i_dissimilarity,462,0.465,1
0107000,i_genderpaygap,91,0.829,3
0107000,i_isolation,447,65.5,1
0107000,i_linguistic,54,0.013,3
0107000,nbm,462,33.339791383,1
0107000,nbm_dental,473,24.1115,1
0107000,nbm_foodsecurity,187,10.6,2
0107000,nbm_mencorehealth,253,30.431200000000004,2
0107000,nbm_poorhealth,475,17.2176,1
0107000,nbm_supermarketacce,440,84.6,1
0107000,nbm_womencorehealth,201,29.059400000000004,2
0107000,opp,464,40.467847438,1
0107000,pfc,462,31.365667773,1
0107000,pfc_adultnoinsuranc,402,14.39,2
0107000,pfc_altercommute,357,7.7,2
0107000,pfc_disconnected,446,10.6,1
0107000,pfc_teenbirthrate,437,26.8845,1
0107000,pr,433,38.232834023,1
0107000,pr_fatal,451,620,1
0107000,pr_gendergappower,208,0.571428571,2
0107000,pr_homeownership,389,45.800000000000004,2
0107000,pr_stateconstagains,285,0,1
0107000,pr_turnout,114,51.7,2
0107000,ps,470,26.639632611,1
0107000,ps_accidents,465,4.304,1
0107000,ps_property,413,412.607,1
0107000,ps_violent,417,231.701,1
0107000,s,194,59.944644232,2
0107000,s_hburdenowner,300,27.400000000000002,2
0107000,s_hburdenrenter,241,49.2,2
0107000,s_homeless,149,74.493,2
0107000,s_nokitchen,316,0.95,2
0107000,s_overcrowded,1,1.5,3
0107000,spi,477,39.473494628,1
0107000,ws,367,43.367984144,2
0107000,ws_drinkingwater,274,2.236,2
0107000,ws_floodrisk,325,1.64,2
0107000,ws_hazardouswaste,74,1.654,3
0107000,ws_noplumbing,476,0.74,1
0135896,aae,45,70.732259974,3
0135896,aae_associates,401,6.4,1
0135896,aae_bachelors,1,30.3,3
0135896,aae_graduate,1,22.2,3
0135896,abk,19,80.660698569,3
0135896,abk_g3reading,1,4.234,3
0135896,abk_g8math,2,9.054,3
0135896,abk_hsincomplete,114,8.799999999999999,2
0135896,abk_lessthan9th,1,2,3
0135896,abk_preschoolenroll,66,63.2,3
0135896,aic,8,77.123977524,3
0135896,aic_broadband,1,90.5,3
0135896,aic_broadbandspeed,55,172.285,3
0135896,aic_celldata,1,71.1,3
0135896,aic_nointernet,1,6.6000000000000005,3
0135896,bhn,7,70.380464903,3
0135896,eq,324,41.905480271,2
0135896,eq_affectedglobalwa,92,41.8265,3
0135896,eq_egridrenewables,308,12.428500000000001,2
0135896,eq_no2,321,11.287,2
0135896,eq_ozone,328,0.043,2
0135896,eq_pm25,379,9.073,2
0135896,eq_waterstress,151,0.904121,2
0135896,fow,46,64.058201226,3
0135896,hw,195,56.54264854,2
0135896,hw_cancer,412,6.7,1
0135896,hw_chd,188,4.9,2
0135896,hw_diabetes,127,8.4,2
0135896,hw_drugod,251,751.027,2
0135896,hw_mentalhealth,83,11.5,3
0135896,hw_obesity,227,28.799999999999997,2
0135896,i,191,61.916088931,2
0135896,i_commutetime,219,23.8154,2
0135896,i_dissimilarity,371,0.315,2
0135896,i_genderpaygap,382,0.69,2
0135896,i_isolation,198,31.2,2
0135896,i_linguistic,174,0.031,2
0135896,nbm,115,58.687196861,2
0135896,nbm_dental,64,8.73077,3
0135896,nbm_foodsecurity,187,10.6,2
0135896,nbm_mencorehealth,1,39.3026,3
0135896,nbm_poorhealth,79,9.88461,3
0135896,nbm_supermarketacce,415,82.8,1
0135896,nbm_womencorehealth,1,36.3682,3
0135896,opp,117,60.422627993,2
0135896,pfc,131,60.11260079,2
0135896,pfc_adultnoinsuranc,99,6.23,2
0135896,pfc_altercommute,434,6.2,1
0135896,pfc_disconnected,1,3,3
0135896,pfc_teenbirthrate,1,0,3
0135896,pr,280,48.929562275,2
0135896,pr_fatal,198,236.7,2
0135896,pr_gendergappower,1,0.833274997,3
0135896,pr_homeownership,64,69.1,3
0135896,pr_stateconstagains,285,0,1
0135896,pr_turnout,114,51.7,2
0135896,ps,44,78.102043168,3
0135896,ps_accidents,2,0.949,3
0135896,ps_property,1,137.679,3
0135896,ps_violent,153,82.86,2
0135896,s,8,80.277372069,3
0135896,s_hburdenowner,1,17.7,3
0135896,s_hburdenrenter,1,41,3
0135896,s_homeless,184,88.253,2
0135896,s_nokitchen,60,0.45999999999999996,3
0135896,s_overcrowded,59,1.6,2
0135896,spi,29,64.953764707,3
0135896,ws,46,64.455247512,3
0135896,ws_drinkingwater,215,1.862,2
0135896,ws_floodrisk,319,1.63,2
0135896,ws_hazardouswaste,1,1.511,3
0135896,ws_noplumbing,73,0.15,3
0137000,aae,110,65.980643637,3
0137000,aae_associates,245,8,2
0137000,aae_bachelors,118,26,2
0137000,aae_graduate,113,16.8,2
0137000,abk,175,65.66214091,2
0137000,abk_g3reading,271,2.902,2
0137000,abk_g8math,262,7.391,2
0137000,abk_hsincomplete,135,9.3,2
0137000,abk_lessthan9th,131,3.1,2
0137000,abk_preschoolenroll,287,45.5,2
0137000,aic,180,53.901495663,2
0137000,aic_broadband,246,82.69999999999999,2
0137000,aic_broadbandspeed,155,147.347,2
0137000,aic_celldata,186,63.800000000000004,2
0137000,aic_nointernet,266,14.000000000000002,2
0137000,bhn,399,44.806306069,2
0137000,eq,241,45.342091165,2
0137000,eq_affectedglobalwa,1,39.519999999999996,3
