geoid,aspect,rank,value,performance
01,aae,44,46.258074931,1
01,aae_associates,30,8.3,2
01,aae_bachelors,46,15.6,1
01,aae_graduate,41,9.3,2
01,abk,44,56.925403659,2
01,abk_g3reading,38,296.7,2
01,abk_g8math,47,655.8,1
01,abk_hsincomplete,40,14.000000000000002,2
01,abk_lessthan9th,33,4.5,2
01,abk_preschoolenroll,38,42.9,2
01,aic,46,26.070529705,1
01,aic_broadband,46,73.3,1
01,aic_broadbandspeed,20,121.943,2
01,aic_celldata,41,53.300000000000004,2
01,aic_nointernet,46,22.400000000000002,1
01,bhn,35,51.657911215,2
01,eq,31,47.686153864,2
01,eq_affectedglobalwa,1,39.519999999999996,3
01,eq_egridrenewables,29,12.428500000000001,2
01,eq_no2,44,9.846,1
01,eq_ozone,20,0.041,2
01,eq_pm25,45,8.318,1
01,eq_waterstress,13,0.783409,2
01,fow,48,38.37940899,1
01,hw,49,22.835548734,1
01,hw_cancer,27,7.35,2
01,hw_chd,48,5.800000000000001,1
01,hw_diabetes,44,13.350000000000001,1
01,hw_drugod,47,1081.066,1
01,hw_mentalhealth,47,16.5,1
01,hw_obesity,47,36.15,1
01,i,41,46.401832751,2
01,i_commutetime,27,24.9082,2
01,i_dissimilarity,36,0.465,2
01,i_genderpaygap,44,0.669,2
01,i_isolation,45,54,1
01,i_linguistic,13,0.014,2
01,nbm,50,35.051425583,1
01,nbm_dental,47,20.2732,1
01,nbm_foodsecurity,49,15.299999999999999,1
01,nbm_mencorehealth,24,33.3737,2
01,nbm_poorhealth,49,16.3648,1
01,nbm_supermarketacce,51,76.7,1
01,nbm_womencorehealth,16,30.596,2
01,opp,48,45.252882321,1
01,pfc,45,41.341430428,1
01,pfc_adultnoinsuranc,38,11.34,2
01,pfc_altercommute,50,6,1
01,pfc_disconnected,43,8.4,2
01,pfc_teenbirthrate,31,14.8949,2
01,pr,48,47.010191175,1
01,pr_fatal,40,374.1,2
01,pr_gendergappower,2,0.747024182,3
01,pr_homeownership,15,68.60000000000001,2
01,pr_stateconstagains,25,0,2
01,pr_turnout,36,45.800000000000004,2
01,ps,32,46.893892272,2
01,ps_accidents,34,4.304,2
01,ps_property,6,141.849,3
01,ps_violent,27,109.957,2
01,s,3,77.3834911,3
01,s_hburdenowner,15,18.7,2
01,s_hburdenrenter,15,42,2
01,s_homeless,4,64.047,2
01,s_nokitchen,8,0.64,2
01,s_overcrowded,8,1.7000000000000002,2
01,spi,47,45.096734175,1
01,ws,32,47.302835904,2
01,ws_drinkingwater,29,2.445,2
01,ws_floodrisk,37,1.84,2
01,ws_hazardouswaste,46,3.122,2
01,ws_noplumbing,26,0.37,2
02,aae,36,51.578174091,2
02,aae_associates,28,8.4,2
02,aae_bachelors,32,18.4,2
02,aae_graduate,29,10.8,2
02,abk,43,57.072876761,2
02,abk_g3reading,52,237.8,1
02,abk_g8math,21,773.9,2
02,abk_hsincomplete,33,13.3,2
02,abk_lessthan9th,5,2.6,2
02,abk_preschoolenroll,48,36.4,1
02,aic,16,44.054390199,2
02,aic_broadband,8,84.3,3
02,aic_broadbandspeed,27,108.095,2
02,aic_celldata,2,64.9,3
02,aic_nointernet,7,12.2,3
02,bhn,49,45.219853989,1
02,eq,13,60.685007628,2
02,eq_affectedglobalwa,21,41.39,2
02,eq_egridrenewables,15,29.4672,2
02,eq_no2,37,8.937,2
02,eq_ozone,1,0.034,3
02,eq_pm25,47,8.419,1
02,eq_waterstress,1,0.658676,2
02,fow,8,56.854326245,3
02,hw,3,65.605030392,3
02,hw_cancer,4,5.75,3
02,hw_chd,1,3.75,2
02,hw_diabetes,2,8.05,3
02,hw_drugod,2,630.6,3
02,hw_mentalhealth,12,12,2
02,hw_obesity,18,30,2
02,i,17,56.707601211,2
02,i_commutetime,6,19.0615,3
02,i_dissimilarity,22,0.393,2
02,i_genderpaygap,33,0.698,2
02,i_isolation,39,49.5,2
02,i_linguistic,14,0.016,2
02,nbm,37,47.500784682,2
02,nbm_dental,27,15.332899999999999,2
02,nbm_foodsecurity,34,12.9,2
02,nbm_mencorehealth,49,25.7404,1
02,nbm_poorhealth,19,12.085700000000001,2
02,nbm_supermarketacce,41,71.8,2
02,nbm_womencorehealth,34,27.2832,2
02,opp,37,51.486693372,2
02,pfc,41,43.347486562,2
02,pfc_adultnoinsuranc,49,15.27,1
02,pfc_altercommute,11,14.7,2
02,pfc_disconnected,50,9.700000000000001,1
02,pfc_teenbirthrate,38,16.3158,2
02,pr,34,54.313511623,2
02,pr_fatal,51,595.8000000000001,1
02,pr_gendergappower,24,0.514491139,2
02,pr_homeownership,38,64,2
02,pr_stateconstagains,1,1,3
02,pr_turnout,11,51.300000000000004,2
02,ps,34,45.853665255,2
02,ps_accidents,22,3.29,2
02,ps_property,46,297.34,1
02,ps_violent,47,168.845,1
02,s,48,44.357772674,1
02,s_hburdenowner,32,22.400000000000002,2
02,s_hburdenrenter,13,41.8,2
02,s_homeless,45,254.606,1
02,s_nokitchen,51,1.48,1
02,s_overcrowded,50,6.6000000000000005,1
02,spi,32,51.186957869,2
02,ws,37,43.167193345,2
02,ws_drinkingwater,38,3.138,2
02,ws_floodrisk,1,1.26,3
02,ws_hazardouswaste,12,2.208,2
02,ws_noplumbing,50,0.74,1
04,aae,33,51.763642239,2
04,aae_associates,24,8.6,2
04,aae_bachelors,36,18,2
04,aae_graduate,26,10.9,2
04,abk,48,53.03213065,1
04,abk_g3reading,46,276.90000000000003,1
04,abk_g8math,13,810.3999999999999,2
04,abk_hsincomplete,49,16,1
04,abk_lessthan9th,45,5.7,2
04,abk_preschoolenroll,47,38.2,1
04,aic,27,37.426403498,2
04,aic_broadband,16,81.8,2
04,aic_broadbandspeed,27,108.095,2
04,aic_celldata,16,58.3,2
04,aic_nointernet,18,14.7,2
04,bhn,44,48.180164057,1
04,eq,50,39.481645208,1
04,eq_affectedglobalwa,33,46.519,2
04,eq_egridrenewables,30,12.067400000000001,2
04,eq_no2,48,10.467,1
04,eq_ozone,51,0.047,1
04,eq_pm25,1,6.003,3
04,eq_waterstress,51,2.39873,1
04,fow,40,43.260318182,2
04,hw,29,43.101093373,2
04,hw_cancer,27,7.35,2
04,hw_chd,28,4.1000000000000005,2
04,hw_diabetes,27,10.85,2
04,hw_drugod,14,827.6,2
04,hw_mentalhealth,38,14.4,2
04,hw_obesity,21,30.45,2
04,i,15,56.980839854,2
04,i_commutetime,31,25.7066,2
04,i_dissimilarity,11,0.342,3
04,i_genderpaygap,6,0.781,3
04,i_isolation,19,35.699999999999996,2
04,i_linguistic,45,0.059,2
04,nbm,35,48.235764838,2
04,nbm_dental,23,14.2898,2
04,nbm_foodsecurity,37,13.100000000000001,2
04,nbm_mencorehealth,40,29.4921,2
04,nbm_poorhealth,30,13.553200000000002,2
04,nbm_supermarketacce,26,63.1,2
04,nbm_womencorehealth,46,23.9956,1
04,opp,32,52.57359274,2
04,pfc,37,46.28555073,2
04,pfc_adultnoinsuranc,42,12.42,2
04,pfc_altercommute,21,10.8,2
04,pfc_disconnected,44,8.5,1
